"Title","Author","Abstract","Year"
"Approche spatiale du risque de pollution diffuse en milieu agricole intensif :Application à un affluent de l'Elorn (Bretagne Ouest)","Monique Launay, Laurence Hubert-moy","L'étude part du constat de la dégradation de l'écosystème marin de la Rade de Brest: la pollution diffuse d'origine agricole de l'Elorn et de ses affluents est l'objet de l'analyse. La pollution par les nitrates fait appel à des facteurs liés à la fois au milieu et aux pratiques culturales. Il faut donc les appréhender ensemble pour voir quelles en sont les interactions au niveau spatial et temporel. L'utilisation d'un SIG (Arclnfo) a permis de réaliser un zonage du bassin-versant en fonction des facteurs du milieu (sols, pentes ... ) et une définition des zones à risque selon les pratiques culturales. Les résultats obtenus permettent de déterminer un indice de risque à l'échelle de la parcelle, qui est confronté à celui que l'on obtient à l'aide d'un modèle de lessivage des nitrates. La problématique de l'extrapolation de la méthode sur une zone géographique plus vaste est envisagée notamment à partir de données satellitaires: l'évaluation de la perte de précision liée aux paramètres d'entrée disponibles à cette nouvelle échelle est analysée.","1995"
"La télématique au service de l'information géographique","Serge Leverbe","Le service télématique «Atlas des Villes de France» propose une information sur les 231 unités urbaines (agglomérations) de France métropolitaine dont la population dépasse 20 000 habitants au Recensement Général de la Population de 1990. Ce projet répond à une analyse de la demande en informations géographiques localisées, souvent exprimées en termes de complémentarité et de comparativité. Pour répondre à la première exigence, nous présentons l'information sous forme de cartes, tableaux de données et commentaires rédigés. L'approche retenue pour la seconde est orientée selon deux axes : une analyse des villes semblables (celles qui, en France, présentent les mêmes caractéristiques pour une variable donnée) et une analyse des villes voisines (l'ensemble des agglomérations d'une même région, quelle que soit la valeur qu'elles atteignent pour la variable choisie).","1995"
"L'analyse de la distance dans la différenciation spatiale des valeurs foncières : introduction des notions de covariation et régression spatiales","Cécile Helle","L'hypothèse fondamentale de toutes les recherches sur la formation des valeurs du sol en milieu urbain postule la dépendance des prix fonciers de la distance au centre-ville. L'existence d'une telle relation est confirmée dans l'espace périurbain d'Avignon, mais la recherche de variables explicatives secondaires soulève un certain nombre de problèmes. L'ensemble des régresseurs du prix du mètre carré (superficie moyenne d'une transaction, rôle des professionnels de l'immobilier sur le marché, indice de congestion territoriale ... ) s'avère, en effet, lié plus ou moins intensément à la distance. Cette identité de structure spatiale (gradient aréolaire) entre la variable expliquée et les variables explicatives trouble l'interprétation: la nature des diverses covariations n'est pas explicite et les corrélations entre les régresseurs sont nombreuses.","1995"
"Analyse variographique de données satellitaires pour déterminer la taille des unités d'échantillonnage. Exemple d'un inventaire d'occupation du sol en milieu agricole et forestier","P. Fournier, H. Geroyannis, V. Godard","Lorsque l'on effectue un inventaire d'occupation du sol et que l'on souhaite combiner l'apport de la télédétection et celui des sondages spatiaux, il faut résoudre le problème de la taille de l'unité d'échantillonnage. En milieu agricole, cette unité d'échantillonnage se cale habituellement sur la taille moyenne des exploitations agricoles. Cependant, en milieu forestier ou en milieu faiblement anthropisé, il n'existe pas d'information analogue permettant de calibrer l'unité d'échantillonnage sur une quelconque organisation des paysages. L'analyse variographique des données satellitaires numériques apporte une réponse à ce problème. En effet, comme ces données sont spatialement auto-corrélées, il est possible de déterminer quelle est la taille des entités paysagères et dès lors, quelle distance minimale doit caractériser une unité d'échantillonnage pour qu'elle englobe un nombre élevé de paysages. L'étude a porté sur deux secteurs agricoles et deux secteurs forestiers du sud du Bassin parisien. Les résultats indiquent que les distances, lues sur les variogrammes, susceptibles de calibrer les unités d'échantillonnage vont de 140 à 260 m pour les secteurs forestiers et de 400 à 450 m pour les secteurs agricoles. Ces distances sont logiquement différentes d'un paysage à l'autre et, à titre de comparaison, elles indiquent que la taille des unités d'échantillonnage (720 m), utilisée en 1986 par le Service Central des Enquêtes et Etudes Statistiques du Ministère de l' Agriculture lors d'un inventaire agricole, est, dans cette région, sur-dimensionnée par rapport à la diversité des paysages.","1995"
"Mise en évidence de discontinuités locales par l'analyse en composantes principales sur dissimilarités orientées : application à l'espace des collèges de l'agglomération parisienne","Jean-Christophe François","Ce travail s'attache à analyser la distribution géographique des discontinuités locales dans l'espace socio-scolaire de l'agglomération parisienne. On s'intéresse aux discontinuités imputables à l'origine nationale des élèves et aux différentiels de retard scolaire. On cherche bien entendu à voir si une certaine logique préside à la structuration des discontinuités géographiques. On cherche à mettre en évidence des discontinuités combinant plusieurs éléments convergents. Ces discontinuités qu'on qualifie de structurelles sont en principe plus stables, plus lisibles pour les habitants et moins sensibles aux comportements individuels que les autres. L'outil proposé pour les mesurer est une analyse en composantes principales effectuée, non sur les attributs des lieux, mais sur une série d'indices de «dissimilarité orientée» décrivant chacun des segments de contact entre deux unités spatiales contiguës. L'objectif de l'analyse est double. Il s'agit, d'une part, de déterminer parmi l'ensemble des limites entre aires de recrutement contiguës, celles qui peuvent être qualifiées de discontinuités structurelles et, d'autre part, d'apprécier la contribution des différents indicateurs à la formation de ces discontinuités structurelles. L'exploitation de cet outil a nécessité la mise au point d'une représentation cartographique adaptée.","1995"
"SIG et analyse exploratoire : vers de nouvelles pratiques en géographie","Jean-Marc Orhan","L'offre actuelle dans le domaine des logiciels de type Système d'Information Géographique (SIG) est très vaste: plus d'une centaine existent et les utilisateurs travaillent couramment avec des bases de 300 000 objets. Les besoins dans les années à venir se situeront dans le domaine de la visualisation et de l'analyse de données. L'intégration dans le SIG MacMap d'un module d'analyse statistique, et notamment la création d'un interface utilisateur, oblige à rechercher de nouveaux types de démarches d'analyses intégrant les possibilités offertes par les SIG. L'objectif est d'utiliser les méthodes de la cartographie pour représenter les résultats et faciliter leur prise en compte. On espère ainsi amener l'utilisateur à employer des outils statistiques, mais surtout à utiliser les capacités de gestion de l'espace du SIG pour créer de nouveaux espaces, nés des résultats de l'analyse. L'objectif est donc de mettre au point des outils créant de nouveaux systèmes de coordonnées. D'un histogramme de fréquence à un plan factoriel ou à un nuage de points, on est à chaque fois en présence d'un de ces espaces recréés. Leur visualisation cartographique et leur mise en interaction devraient offrir aux géographes de puissants outils d'analyse.","1995"
"Acteurs du tourisme et espaces de décision en Auxois","Valérie Delignières","Comprendre, évaluer et analyser les actions engagées ou proposées par les acteurs du tourisme sur un espace rural donné: ainsi pourrait-on résumer les principaux objectifs de cette communication. A partir des analyses dégagées des bases théoriques et de l'application à un espace donné, il s'agit de mettre l'accent sur les points forts et les faiblesses du système, en insistant particulièrement sur les phénomènes d'emboîtements d'échelles. En effet, lorsqu 'ils sont pris en compte dans le raisonnement global, ils permettent instantanément de comprendre à la fois la complexité et les dysfonctionnements majeurs des processus de développement touristique propres à l'espace rural.","1995"
"Modélisation de la demande de logements en zone frontalière : une analyse appliquée au marché local de Morteau (Doubs)","Alexandre Moine","Il est aujourd'hui admis que les marchés locaux du logement sont des systèmes complexes, dont l'analyse nécessite la mise au point de méthodes particulières. La méthode de dynamique de système semble tout à fait adaptée. Elle est appliquée ici au fonctionnement global d'un marché local situé en France, en zone frontalière franco-suisse. La démarche est basée sur une analyse de la segmentation du parc de logements suivant ses caractéristiques et celles de ses occupants et sur la mobilité des ménages entre ces logements. On considère que la mobilité est influencée par la situation de l'emploi local et le contexte socio-économique particulier lié à la frontière, par les cycles de vie des ménages, leur stratégies résidentielles et la disponibilité en logements. L'utilisation de la dynamique de système permet la réalisation d'un modèle représentant l' évolution de la demande de logements en relation avec la mobilité des ménages entre les différents segments. Outil d'aide à la décision, la souplesse d'utilisation du modèle construit permet d'obtenir des résultats très intéressants.","1995"
"Structuration des lignes maritimes régulières de navires porte-conteneurs","Olivier Joly","Les travaux en cours portent sur la structuration des réseaux de lignes maritimes régulières (conteneurs), propre à décrire les flux de conteneurs et leur permanence dans le temps et l'espace maritime. «Etablir un ensemble cohérent de mesures de réseaux maritimes (conteneurs)» pouvant être relié avec les mesures existantes de réseaux de transport terrestre (rail, route) était l'un des buts fixés pour commencer mes travaux sur la localisation des plates-formes logistiques en Europe du Nord-Ouest. La méthodologie propose la construction d'indicateurs de mesures propres aux réseaux de lignes de conteneurs.","1995"
"Un modèle géographique pour analyser les problèmes d'implantation d'une grande infrastructure de transport","Jean Ollivro","De plus en plus, en opposant décideurs et exploitants aux riverains, des conflits se font jour lors des implantations infrastructurelles. Résoudre ces conflits est une tâche extrêmement redoutable. L'ambition de cette communication, est de contribuer à la résolution de ces heurts à l'aide d'une thèse réalisée sur le TGV Méditerranée et d'observations opérées sur le projet TGV Bretagne-Pays de Loire. Ainsi, différentes solutions sont évoquées, plus ou moins radicales suivant que l' on accepte ou non dans sa globalité le processus décisionnel en cours. Elles mènent à la présentation d'un modèle géographique simple permettant de mieux comprendre le processus d'implantation.","1995"
"Le transfert de la connaissance pour la réalisation d'un système expert","Nathalie Dubus","Réaliser un système-expert signifie qu'il faut transférer des connaissances de l'homme à la machine. La transcription de raisonnements d'experts particulièrement complexes nécessite de passer par des phases d'extraction, de modélisation et de formalisation de la connaissance. Chacune de ces étapes devra faire appel à des méthodes de travail spécifiques. La tâche d'acquisition de la connaissance est certainement la plus complexe, la moins formelle, mais aussi la plus intéressante dans le développement d'un système-expert. L'intérêt qui lui est porté va croissant puisqu'elle conditionne la qualité et la pertinence de l'outil réalisé et son efficacité pour l'aide à la décision dans les domaines de l'environnement et de l'aménagement du territoire.","1995"
"AGRIPA: Calcul de coût d'accès par diffusion contrainte sur un espace différencié par système
multi-agent","Alain Touret","Cet article présente un opérateur spatial raster de calcul de coût d'accès à un réseau routier que nous avons développé au Laboratoire de la Montagne Alpine (LAMA) de Grenoble. Nous utilisons un système multi-agent pour simuler de façon pertinente les modes de circulation des individus. Plusieurs sources de diffusion peuvent être mises en concurrence.","1995"
"Présentation d'un système expert« flou» pour la mise en oeuvre d'une politique de développement local","Sophie de Ruffray","L'objectif est de présenter la réalisation d'un système-expert comme outil d'aide à la décision en insistant sur les fondements spatiaux et temporels du développement local sur lesquels repose le système-expert, l'intérêt et les limites d'une approche système-expert pour l'aide à la décision en gestion spatiale, la double spécificité d'un tel outil qui tient compte à la fois des contraintes liées à l'espace en général et des problèmes engendrés par la micro-échelle. Pour respecter l'ensemble de ces contraintes, il s'agit de définir et d'expliciter le concept d'espace géographique, de formaliser rigoureusement les connaissances qualitatives et quantitatives liées à ce micro-espace en faisant appel à la logique floue et de présenter des modèles d'évaluation pour l'aide au diagnostic d'une action de développement local.","1995"
"Proposition d'un système d'aide à la décision en environnement flou","Philippe Quarrey, Caroline Berry, Nand Aggarwal","Dans le domaine social et plus précisément dans celui de l'orientation professionnelle, les prises de décision sont fréquemment sollicitées dans un contexte où les informations apparaissent imprécises et incertaines. Dans de telles conditions, des moyens de représenter et de manipuler des connaissances imparfaitement décrites doivent être utilisés afin de traduire la souplesse de raisonnement de l'esprit humain. Les techniques d'aide à la décision sont alors adaptées pour une application en environnement incertain et flou. Cette étude est réalisée pour l'Association pour la Formation Professionnelle des Adultes (A.F.P.A.).","1995"
